A53RqQwDePk;era,sombre,day;UCgA0wOj6iaW1SaRfnUgxiIw;2060;225;30929;43;1;none
F29jFlAlPBY;wu,tang,clan,wu,tang,forever,disc,2,full,album;UC1y7P0Nofitp1chO6GtxSUQ;145;4651;12227;65;2;none
jZcuqenl5L0;eyehategod,laugh,it,off;UCwabp-dRZeMhlqQ3Pm_i-4g;1096;99;1627;7;2;none
PTke5h_ENlo;ok,go,dance,with,your,city;UC194cPvPaGJjhJBEGwG6vxg;1443;109;291758;787;40;none
F68bPPwVDhU;simply,magic,cyril,takayama,episode,2,3;UCg5ynKsOpHOCk-jTxCSwGtQ;533;5433;81468;142;15;none
sEOh4ArP9O0;mum,dilemma,jake,mitchell;UCXfZmlaBEa36aC5k900VGjw;125;373;5351;568;15;none
0vkdNSFiCDY;cardiac,tamponade,part,1,5,best,explanation;UCPHpx55tgrbm8FrYYCflAHw;109;2239;17057;121;4;none
10HnXc406lg;kingdom,of,heaven,extended,trailer;UCRaEQc1RX6JoPaysDuvmWPQ;2416;283;227257;384;24;none
-KWilfJk98k;the,dominions,of,the,white,death,part,2,5;UCYwDp3hlpvvUNY--qI_lpLg;305;585;9494;22;4;none
_OXG0toEl1s;mitya,burmistrov,beatbox,nk;UCir0GAhcTHfbGvDehH3RtTw;847;330;133681;2399;35;none
lO4P_iASzVQ;tritonal,paris,blohm,feat.,sterling,fox,colors,estiva,juventa,remix;UCU-5Yie8EoN78Mqunjx6uow;148;351;16064;190;2;none
e8hcKycqEbM;israeli,attack,coming,world,war,3;UCczrL-2b-gYK3l4yDld4XlQ;1533;269;179367;273;47;none
C6MhR-2YvMs;sandro,silva,quintino,epic,original,mix;UCkbA7GYpHYYj5LKrLdvXBLA;1083;361;76116;208;6;none
2Bq5NAISYOI;nicky,jam,con,ejo,improvisando,medellin,colombia,hd;UCpb_iJuhFe8V6rQdbNqfAlQ;707;271;1263994;6305;260;none
76-Rkv1TiIg;in,your,atmosphere,john,mayer,legendado;UCSoU6eZ70fVBdAEkyljdG_w;1222;365;53765;143;1;none
TN79Qyddsf0;what,adults,can,learn,from,kids,adora,svitak;UCsooa4yRKGN_zEE8iknghZA;612;494;42354;1026;42;none
Ke7_Ps-3XKI;feliks,zemdegs,world,records,compilation,rubik,s,cube,puzzle,4x4x4,5x5x5,etc;UC3NOgNqMWr6DAWE0vT12bRQ;1345;1352;144615;232;8;none
k37OQR_uhHY;alaa,wardi,6ofoletna,3aysheen;UCUuseKzXVxgBCnSy8KU90jg;1170;298;579485;6052;493;none
sz8C_RektAA;bombay,railway,a,bbc,documentary,part,1,pressure,6,6;UCaB0gGTcFMfMNl_iFglDgzw;1814;565;19574;40;1;none
vJjBkoQD2ng;black,ops,2,zombies,origins,livestream,w,syndicate;UC1ieoHqKW-yYgDhLHIcx28w;427;14023;8563621;265108;6591;none
17rC2kxWu8A;philippines,poverty;UCv6tLVGZwzRhDog5CswJlYA;1277;149;4941;5;2;none
Uzw8n55pY5M;;UCvkVta8L-KRotq5jGSXMTQQ;762;4856;1153585;2782;1709;none
FKCDB1JwJBY;;UCR5Lh2ekoxFdf7h4QCy37KQ;1382;82;968893;183;97;none
5fFnHF-J2iA;rainbow,hair,tutorial,how,to,dye,your,hair,rainbow,offbeatlook;UC6lim77xHQQ9Tio9e_ydxEw;88;366;39891;846;10;none
cDLNDnuHfbY;big,hho,burners,industrial,water,is,the,fuel;UChXR8RsRWDx71kXpUpNF8dw;269;238;19135;21;2;none
htJYHMfqWVU;;UCSK57JMV0OJL1C7V-YOEVkQ;53;783;137667;1194;55;none
dwAPk48G-P0;legacy,pool,table,assembly,part,1;UCOQd7wOTC1r5z5rs6Sk7ftQ;1219;548;31442;26;3;none
y-0nWSDLDkg;mitchell,vs.,pigeon;UCuRmRkOUo5wvsqczJr9Gw1w;719;207;32001;89;6;none
yyrHsUO0VHY;asmr,treats,from,australia,crinkles,and,soft,spoken,happiness;UCkvg7ur8e_HBZTRDv7-RfjA;144;1833;50672;672;23;none
sUmO3p2BPGI;one,more,night,moves,like,jagger,daylight,maroon,5,medley,drum,cover;UCZtVwCnnROt11xohW-poFpg;631;316;48826;140;16;none
h1iw7-yk0Ik;muslim,teen,boy,converts,to,christianity,testimony,ghana;UCPjc2epm_D336sXmozQx6IQ;624;505;5453;80;9;none
LCJPflGV-vQ;,impresionante,accidente,en,la,naucalpan,toluca,deja,11,muertos;UCcHtke0raf8vNYLM1Hbq3Jw;190;80;308366;115;60;none
elDEjfoA2yc;eliades,ochoa,pintate,los,labios,maria;UCGzxHFpZqv5piQoDxUMTNrA;2484;216;293794;545;14;none
Xuh0BF3YW2c;how,to,treat,add,and,adhd,naturally;UC-WsYxBh3ktBegouTl5YJ2g;977;228;2846;12;2;none
flJdcNkYm4E;insidious,chapter,2,extended,behind,the,scenes,featurette;UCJRYoVWkItEvCK5LZn2tppQ;419;697;490339;1100;73;none
reTrzx44_VQ;glee,chevy,commercial,superbowl,2011;UCgkpeuBijxVjBeeHikk7t4A;1346;150;170558;1009;9;none
_kN0yT_osec;pollito,pio,version,chile;UCwvjZlDXYGtIHZAUKy2AUOA;635;162;3942234;5094;2333;none
2KY_nrhGPHk;american,got,talent,kid,tanner,edward,dance;UCPOXNKtBh_BKjwd_yHiQdBw;504;354;82348;292;11;none
HnboCHR4XrA;hun,sz,v,dob,ban,s,eng,heart,in,drum,to,spade,heartthrob;UCPNGmKKk_KOciLHULQ5sf-A;1138;259;98275;675;4;none
