Qec9FNPf6M4;sz,ler,m,k,sz,t,se,h,zilag,angolul;UCM6rjlWRcwGwmGtcUW6zbjw;797;844;12224;15;1;none
TCYW5qVzg7c;train,drops,of,jupiter,lyrics;UCtQ_Ot78AqX-lfLAIyfrd9w;745;267;889081;4190;149;none
jlcYw3Pg4jY;prozzak,sucks,to,be,you,full;UCmSGFh2pXa0tv_bPHyisIvQ;1964;210;285132;1264;36;none
mp2nT-gWCPQ;planet,x,niburu,elenin,blue,red,star,of,hopi,the,destroyer,of,kolbrin,cometh,5,of,6;UCvYnw8khTUrRpYogqGiHL8w;1401;1179;714;2;1;none
tfSqNsqchRg;how,to,understand,shakespearean,language,layers,of,meaning;UC0cVHnB32tV7_PA-OOJRcDA;1319;213;8215;28;3;none
Mw7anorXCMc;real,systema,russian,martial,art,fight;UCHvdV4NhOJyaDn8D8jYqAaQ;138;42;20032;9;48;none
wsTXumUC3jg;banned,bugs,bunny,cartoon;UCZK--xGxx7znwzKBPBEejHg;2704;96;913327;786;75;none
-o2ofREdY5Y;mulher,bate,no,filho,de,4,anos;UCwAHiGnDgJTWHSmr7g-TAlA;328;254;13592;81;28;none
mDmbKzaCkGY;amon,tobin,easy,muffin,full,version;UCeEntqb4l2JG-P5Gcb7mPFw;2224;306;524236;3032;27;none
wnYXbJ_bcLc;fall,of,the,berlin,wall;UCPNl1MjCh3lCcB1GUOMAt8g;2929;177;976070;1419;67;none
9R1cwYqwFgo;architects,engineers,solving,the,mystery,of,wtc,7,ed,asner;UCrR9MktjuIFxjI_Yq_3O9mg;140;900;1306;28;1;none
FYgIuc-VqHE;clear,flexible,printed,circuits,first,success;UCivA7_KLKWo43tFcCkFvydw;387;405;55238;1386;11;none
71h036dS1Y0;the,difference,between,education,and,learning,federico,pistono;UCxSCzsxfUSpCmLXe7M2pD7w;128;36;1231;33;1;none
4CHucqS8UwM;,la,conspiraci,n,de,la,alimentaci,n,jose,luis,camacho,en,ii,congreso,alimentaci,n,consciente;UCCbzi7e7zCz4MssN5UUgqyg;861;2994;27569;205;18;none
UB-jhT6Gg4o;top,100,des,chansons,disney;UChZ7QcYgaECFEJq1iKmzlXw;673;5585;2047643;5889;511;none
gkpdg7yqin0;medieval,2,total,war,mod,hegemon,ancient,wars;UCjkTueQXGFFdtybnM5-tIHQ;918;900;30129;88;5;none
85sc7c2M-Ns;wind,turbine,powered,car,test;UCIY84-8Pe5loCj6M_LxoEWg;566;410;78959;90;19;none
Gh-PjkQ8eCI;mortal,kombat,9,klassic,fatalities,scorpion,sub,zero,reptile;UCzH3iADRIq1IJlIXjfNgTpA;1238;78;1037689;3466;93;none
eAb8zhn0Upg;het,kuikentje,piep,door,peter,van,de,veire;UCY6mEUA-8ybHksKP7Xb1nhw;665;166;2152130;2744;922;none
Nn7AE7w8ntQ;wylsacom,icebucketchallenge;UCt7sv-NKh44rHAEb-qCCxvA;81;198;437328;17165;713;none
R_rp__4ewz8;playing,pokemon,in,the,library,2,extras;UCEIC_kfSpKe5NVfAeq1YKAQ;398;195;69926;1402;50;none
9MB6M6njKKI;natalya,vs.,aj,lee,divas,championship,match,wwe,main,event,march,11,2014;UCJ5v_MCY6GNUBTO8-D3XoAg;246;121;331860;2794;461;none
FxlZrH4u39M;paramore,the,self,titled,sessions,1;UCc7_woMAIVIW2mAr1rPCsFQ;460;197;323670;6912;67;none
X5NtuPErDRM;violin,dubstep,scrapman;UCgbbXmUmCqCpf3SEp7nij-w;1669;124;348919;1088;137;none
QyxVKi_EYwY;liberty,s,kids,1x01,the,boston,tea,party;UCuLzowwAyrIJ0nPyS42pNWQ;903;1398;128546;336;28;none
8cdTmEq0wAk;entrevista,a,hipolito,mejia,por,jorge,ramos,parte,1;UCItoyaIWZ89sVDFiY0v-VcA;1234;344;44664;64;6;none
BQFdyc5u9bE;dr.,dre,wiz,khalifa,kendrick,lamar,join,snoop,at,bet,experience,doggisodes,ep.,28;UC-OO324clObi3H-U0bP77dw;391;815;266074;1888;86;none
tDR2qpmXZc8;orion,flare,pistol,bear,banger,adapter,part,1;UCujc-vPdWnZoFxu6ZhFJ37w;1149;118;108881;73;19;none
mbdhnsh9y3o;elenco,de,crep,sculo,donde,est,n,ahora;UCm3Y5mfuO7pf3SXQILf3Obg;81;502;278147;5137;92;none
-IfbWy0P4Vs;,3,26.06.12;UCX9-cJy8dZWDI8hCnmahuLA;869;2801;505729;1159;474;none
9O_K2NnWk_M;infid,le,et,echangistes,inedit,new,2014,cap,d,ague;UC0GHLee0tYZCXsYMkv581sQ;181;5005;122009;31;12;none
LfMHr3tjoXA;ph,nix,aus,der,asche,ankara,die,unbekannte,t,rkische,hauptstadt,doku;UC0SxYCBWK3nGaJfyhktQ2cg;264;2540;19741;51;11;none
pImqP00mkvo;recuerdas,los,ultimos,hits,de,los,90s,1998,1999;UCJO5RywzhXv2RiWyp4EOGtA;1439;621;140128;293;34;none
2_E9KsO5xhA;the,steel,battleship,2,4,hd;UCGztp0SBbxMim9uJ7P81Elw;108;3038;2051;6;1;none
UxF8NGJRG9o;gay,pride,fight,cop,beat,up,girl,who,was,fighting,christians,anti,gay,protest;UCt-WqkTyKK1_70U4bb4k4lQ;148;114;57503;134;47;none
8ziqf2zeQDQ;deadmau5,ghosts,n,stuff,dubstep,high,quality,hd;UCjLSoKEGdl0VWRUFbY5wf1w;1338;414;53611;334;23;none
7KwcvND3zpc;free,style,street,soccer,compilation,the,best;UC36iP0I1WqQcTiuJ820yqxQ;773;391;8656;39;1;none
3JM4_PZni_o;clap,your,hands,cover,old,man,river;UC8gvDrHxER_xKD8fIQnffrg;1538;220;23169;56;4;none
1rcQkmdGEU4;,98,greece,ing,up,the,euro,engine,lorcan,roche,kelly,and,ann,pettifor,on,europe;UC1PfnaeZIewIMs9RhdodytA;216;1634;2359;28;3;none
j-k3X1mgabY;cid,maut,ka,kabaddi,episode,1129,19th,september,2014;UCpEhnqL0y41EpW2TvWAHD7Q;54;2589;387041;1099;220;none
SUcmxNXKfTQ;red,cup,e,40,ft,t,pain,kid,ink,b.o.b,lyrics;UCJUzgO-6q2iok7Sg00Fpubg;97;251;36143;178;16;none
guwiOGYhtyI;slipknot,the,nameless,lyrics;UC6o0VspC-VyJjdMgqsqWtIg;2077;271;56972;253;13;none
nka7LZoGdzw;gta,5,superhero,tryouts,online,funny,moments,next,trains,car,bomb,poo,mechanic,banana,bus;UCKqH_9mk1waLgBiL2vT5b9g;285;364;8580264;103024;1407;none
w5enYGm5n-A;lego,harry,potter,years,1,4.,8;UCmI3APSQ6g-bgrIQIuZuGQQ;498;2266;376643;516;57;none
JkKI76ylA2c;zigzag,sprint,crossfit,games,2013,event,5,12;UCdZIo3OEGSdy7C4QPWPfs-A;198;1235;5469;11;1;none
lI-M7O_bRNg;ibm,watson,final,jeopardy,and,the,future,of,watson;UC8cc4pVKVHG7A9fbNsRNrLQ;1365;615;254701;1624;33;none
Io8VN2kzU-0;extinci,n,de,los,dinosaurios,2;UCBJGmCuRWLUj6ltdtjgNMOg;746;973;41085;125;7;none
ifz3DzbUFss;sabong,tarlac,city;UCO5pE88vDUIfJ_04mIHxmQg;318;293;9368;6;3;none
2S2JxBpd6pc;leopard,kills,a,warthog,at,londolozi,game,reserve;UCFTDMh2AOf0_rp-YGuf9Inw;1102;189;284062;237;27;none
Z3UxL6wklDg;taylor,swift,teardrops,on,my,guitar,lyrics,hq;UCa_-WbOQ1VN0XqsqrZkkzGA;1243;201;400412;2015;21;none
4pjH7rSRQQQ;envoy,sp,ciale,les,cyber,criminel,hackeur,pirates,2,4;UC4J4iXIbkr-1oQSB4npimtQ;1439;815;31225;35;3;none
c4SjYet5Akw;jesus,e,a,mulher,atormentada,divaldo,franco;UCcnG1ApUbR9MhlEJMHmB3JQ;2775;599;79391;204;5;none
gTpffwkySYs;eisenbahn,highlights,2010,2,3,railway,dampflok,zug;UCOJe7abm8byWMR3JUeWk8BQ;1429;1683;104786;99;27;none
LU9zJ7Nn6bM;helen,keller,flying,in,1919,bi,plane;UCtSbdTQLA4sp-0VFXE095ew;185;82;2050;42;2;none
-zxLKCfhUXY;game,of,throne,nigerian,nollywood,ghallywood,movie;UC97SQWfMCCVnhe5RtgkAqJQ;73;7818;31658;67;20;none
-XJN7qqFqPE;too,many,puppies,primus,live;UCrcZuyc3mFYtpS7aWQeC3Ow;2330;350;603537;1891;52;none
otn3oDX1ELk;,3.5,.,2493,2502;UCdw_ST92Eur_eN7sEUkBojw;1328;12452;83956;643;8;none
OLHkjV2ECfo;motocross,young,guns,red,bull,pro,nationals,2011;UCDWqA9tWxPxw2qWfZnG2woA;1316;266;222452;185;19;none
HRQH03PXyzs;,13mar12;UCeIcEuaSoINLbguwZYNblxQ;974;3346;721527;1299;114;none
245YXzSeico;michael,savage,angry,over,captured,boston,bomber,and,obama,s,weak,response,4,19,2013;UCuTAHQB64g-lqGaxaOI0OfA;572;746;8355;53;12;none
-RlJJYS5un0;,2014;UC19Y4lMWFVa2vUNtWHwOmVg;292;148;90687;102;14;none
fbU7L6vYZ5c;sonja,is,blind,prop,hunt;UCEXFSf2qoF4ZNZ5sSBsYIkw;150;606;115123;2302;34;none
dmM0-Eix8y0;michael,winslow,cruck;UC5WCfj4kWNH5jn73ozYcxog;1701;574;136561;633;9;none
PvKo7gLzzEY;dr.umar,abdullah,johnson,black,people,transform,your,psychological,religious,crutch;UCrJMlkw5UhABcWaDUB7Z7UA;925;365;5119;85;1;none
tH1g17IsPSA;,tv;UCs-IctmAaTQCNEwDGq0p21Q;750;143;97988;125;7;none
MybFlN0Vn3s;do,you,belong,to,gen,x,or,gen,y;UCpko_-a4wgz2u_DgDgd9fqA;174;135;979128;10637;3598;none
_0-uTHbaxws;t,phonic,positive,ft.,elbie;UCr8oc-LOaApCXWLjL7vdsgw;110;382;145707;1917;25;none
l3RoWSbIH4Q;;UCwoyBw-AVPEY4WP9-ngw0HQ;621;714;24806;64;4;none
RdvkYxvgErQ;apple,beats,deal,the,winners,and,losers;UCUMZ7gohGI9HcU9VNsr2FJQ;167;395;14556;50;8;none
